COMMENTS	SOURCE
parallel processing, utilizing specialized hardware (optionally)	Complete
I get complaints about numpy vs matlab perfomance, mostly from people who've never used numpy.  I know numpy is about as fast as Matlab, but haters gonna hate and taters gonna tate.	Complete
Improve computational efficiency, especially for large arrays. (Original in Japanese: 提高计算效率，尤其针对大数组.)	Complete
I code optimization solvers that have to do many small matrix-vector multiplications as part of the function, as in they can not be folded into some higher matrix operation, etc.  I realize that this is a rather niche use case but is there anyway to bring down the calling overhead? For example a Ax with being a 5x5 is effectively no different in cost to A being a 30x30 on my machine. I think a small matrix optimization would do wonders.  Also default linking to something other then MKL	Complete
Perhaps an integrated integration with numba, so when you call a function on an array you could specify a how=numba type parameter 	Complete
Potentially include the use of GPUs.	Complete
Specify arrays of fixed size so that certain functions run faster. I work a lot with small matrices, mostly for linear algebra stuff, so it would be nice to have functions optimized for certain sizes of arrays. 	Complete
Nothing in particular. I think as one of the go-to libraries for scientific computing Numpy should strive to maintain and improve the performance of its underlying functions, for current and future features.	Complete
Could NumPy run on GPUs?	Complete
Numpy is key for the Machine Learning.. Need Performance is the key factor	Complete
more use of parallel computing	Complete
Ability to automatically hand off certain operations to Intel MKL, Blitz, ... libraries when available on the system and faster.	Complete
I don’t have any ideas on how to improve it but it seems to me that it is always the most important thing and why it is used. I would love to collaborate on whatever development priority is taken. (Original in Spanish: No tengo ideas de como mejorar pero me parece que siempre es lo más importante y por lo que se lo usa. Me encantaría colaborar en cualquier prioridad que se tome de desarrollo.)	Complete
I know NumPy already has a lot of vectorization and paralelization, but maybe including automatic paralelization using GPUs or coprocessors. Probably similar to what JAX does but built in in some core components of NumPy.	Complete
By testing, indexing with numpy took much longer than the same function but with numba's njit decorator. Perhaps you could adopt certain improvements that are invisible to the user. (Original in Spanish: Haciendo pruebas, el realizar un indexing con numpy se demoró mucho más que la misma función pero con el decorador njit de numba. Tal vez se podría adoptar ciertas mejoras que sean invisibles al usuario.)	Complete
I just wanted to express that the most important thing for me would be the improved performance whenever possible. Probably incorporating parallelism in linear algebra libraries would be a good idea not that complicated to execute. (Original in Spanish: Lamentablemente no se me ocurre como solo quise expresar que lo más importante para mi sería que mejoren cada vez que pueden el rendimiento. Probablemente incorporar paralelismo en las librerías de álgebra lineal sería una buena idea no tan complicada de ejecutar. )	Complete
Use a lighter implementation closest to the function calls on cython. But without changes on the code, something easy to enable and disable. Using decorators maybe? 	Complete
Default inter-core parallelization options. (Original in Spanish: Opciones de paralelizacion entre núcleos por defecto.)	Complete
I don't have any suggestions, I just think that performance should be prioritized.	Complete
More explanation on how to write more performant code	Complete
I think numpy performance is spectacular, but I believe it should continue to be a focus.	Complete
I have few good thoughts about this, I just believe that performance is most important.	Complete
if ndarray was displayed how a matrix is displayed in matlab or R, it would be much more convenient	Complete
I came from IDL and when I write the same algorithm in IDL it is almost always faster. Part of that is that I understand how to write to take advantage of the parts of IDL that are fast more than I do with NumPy, but even when I use the community-accepted best option, it is usually slower.	Complete
Ways to perform array selection based off criterion for the indices and data value at the index simultaneously.	Complete
Develop a portable binary file storage format for use from different languages (C, C++ and Fortran) Borrow ideas from pandas and incorporate in numpy. Pandas is slow compared to numpy but more robust that numpy.	Complete
Use  of GPU for some calculations	Complete
Performance on the overall library is really good. It's just that as my priorities go, it is the most important.	Complete
There are certain tasks that require multiple passes of arrays that simply don't need to do so, due to numpy's heavy leaning into masks for certain queries.  Numba of course helps mitigate a lot of these, but that's a crutch for an obvious design flaw in numpy at it's core.	Complete
There is not much to improve, I put it there as it should always be the highest priority when changing/adding code and features	Complete
Make everything even faster :)	Complete
Make it easier to new users to access high performance code by means of jit or something similar.	Complete
The performance of numpy is very important, as important as documentation and reliability. (Original in Spanish: El rendimiento de numpy es muy potente y esa potencia debería de ser igual como en documentación y fiabilidad.)	Complete
It is important to measure the execution time looking for opportunities for improvement. (Original in Spanish: Es importante medir el tiempo de ejecución buscando oportunidades de mejora.)	Complete
Improving performance through parallelism. (Original in Spanish: Mejorando el rendimiento por medio de paralelismo.)	Complete
More support for parallel programming, CUDA or vectorization of custom functions.	Complete
Parallel computing, improved algorithms	Complete
GPU support	Complete
Use code acceleration (GPU, TPU) similar to PyTorch and JAX. (Original in Russian: Использовать различные ускорения кода (GPU, TPU). Например как в PyTorch, JAX.)	Complete
Performance is great. It should just stay a priority.	Complete
I have used numpy as the basic library in many large research projects, performance is usually more than adequate. A challenge has been to profile large programs using numpy. 	Complete
Make it “Faster"!	Complete
Fix Memory usage, restrictions and support on various platforms.	Complete
JIT compilation, easy parallel / GPU support	Complete
improve memory-access critical operations	Complete
Native distributed, multi-threaded numpy.	Complete
I guess I'm really looking at Numba and Dask for this...	Complete
Improved speed, intuitive function design. (Original in Japanese: 速度の向上、直感的に操作できるような関数の設計.)	Complete
The performance is quite good for my uses - I just think it should be maintained	Complete
It's already good but it can be made even better.	Complete
To process and handle large distributed data.	Complete
gpu support	Complete
Logic that processes large numbers of calculations as constraints. (Original in Japanese: 大量計算を拘束に処理するロジック.)	Complete
the race for better technology is always won by performance and reliability. That's why I kept them in higher priority.	Complete
Add Numba like JIT support. A specific set of IR can be purposed.	Complete
Support to Gpus	Complete
Adding GPU support for accelerated matrix operations	Complete
Further improvements in multicore and multithreading. Packages to support hpc usage	Complete
I use NumPy because it is very fast at most tasks.	Complete
General speed improvements.	Complete
e.g. Put np.min and np.max in one func	Complete
Complex expressions may create temporary arrays behind the scenes. Would be nice if clever coding in the interior of numpy eliminated this.	Complete
It is perfect.	Complete
NumPy is outdated in terms of leveraging new hardware instructions and there is a lot of room for improvement.	Complete
Goes together with 'New Feature' below: I would like a better way of addressing specific axis in a multidimensional array. Right now I'm tampering with numpy.s_ and direct calls to __getitem__, but I'm not satisfied with that. It is also not usable in numba compiled code and this limits me.	Complete
I don't have many ideas on the topic. I know that there have been already a lot of work on performance, and that more SSE/AVX vectorized implementations are on the way. I imagine things can always be improved somewhat given enough effort of benchmarking, profiling etc. 	Complete
Plus easy to optimize the programs. (Original in French: Plus facile optimiser les programmes.)	Complete
GPU	Complete
Explicit standardization of core API so other tools can be swapped in as backends for parallel or GPU computing	Complete
making use of GPU	Complete
Integrate new features from Intel MKL & BLAS libraries. Optimize performance on new processors with high core counts like AMD's Threadripper CPUs.	Complete
Maybe via Numba.	Complete
Automatically take advantage of multi cores where feasible	Complete
Better Sync with DL based frameworks.	Complete
NumPy differential equation solving is slow.	Complete
Automatic detection of GPU, support for multithreading	Complete
Heterogenous ops	Complete
More documentation on best practices for performance, tips and tricks etc, would make it easier to get the performance that may already be there but currently requires a lot of extra knowledge to obtain.	Complete
Would be great if Numpy had native GPU support, although CuPy essentially makes most applications possible. Would be great to have more options for distributed array computing.	Complete
Make use of GPU acceleration  (e.g. allow use of alternative underlying Fortran code with added OpenACC directives, even if only for some common operations)	Complete
Continue to find most computationally efficient methods of executing code.	Complete
Community organizing around nep-18	Complete
You might be able to provide a separate option to inherently parallelize certain functions, and/or provide examples on using numpy with other packages that might boost performance.	Complete
I don't think, performance is an issue as of now. It is just, that I think (in general) numpy is in a state where I don't have much to complain about and performance gains are always nice...	Complete
Reduce memory consumption. (Original in Spanish: Reducir el consumo de memoria.)	Complete
Faster code is always helpful	Complete
Parallelization, GPU	Complete
Add GPU Support	Complete
NumPy should use numba.	Complete
Numpy is really fast, and I don't have a ton of experience in making it faster. However, I always fall back on numpy for code optimization and I think it is an important place to focus resources.	Complete
expanded randomized linear algebra routines	Complete
Automatic execution on GPUs	Complete
I primarily use NumPy to analyze large data sets. Loading those data sets (up to 2GB of csv files) with NumPy is not the most time efficient and eats up a lot of memory.	Complete
I have no knowledge on this subject, but believe NumPy's main usefulness to the scientific community is high performance. This should continue to be a priority.	Complete
Enable gpu support wherever it can be used	Complete
One specific problem (which is not purely numpy related) I have is the difficulty to parallelize my Python codes, given the ease in other languages like Julia and C++	Complete
Provide benchmark suite that we can run on platforms at our disposal. Python, owing to its nature (e.g. OpenCV interfaces), is slower compared to same set of operations on other platforms. This handicap makes it a tougher "sell" in mainstream IT departments.	Complete
Performance should always be top priority.	Complete
I'm not sure. Just make sure it performs well.	Complete
Make sure it works as efficiently as possible.	Complete
Performance is the key value prop for numpy versus pure Python implementations of algorithms.	Complete
The performance concerns are mainly around masked arrays, which can be extraordinarily slow.	Complete
Identify areas where current algorithms are highly sub-optimal or where there are advanced algorithms that perform much better.  I think of numpy and scipy together here. For example, numpy median filters are much slower than implementations in other languages such as IDL, and are far slower than optimal algorithms.  The last time I tested, the numpy histogram algorithm was very slow.	Complete
The work on vectorization sounds great. There are also some parts of NumPy that could be optimized (like 2D regular binned histograms). As far as I know, the Windows NumPy does not yet include the expression fusing that Unix does, which would be nice. (Most these are just light-weight suggestions, I work further down from NumPy usually, but since so much relies on NumPy, performance gains can affect a huge community)	Complete
1. The core of Numpy written in C should use the new hpy API so that it would be possible for PyPy (and other Python implementations) to accelerate Numpy code.  2. It should be clearly mentioned in the website / documentation that to get high performance, numerical kernels have to be accelerated with tools like Transonic, Numba, Pythran, Cython, ... See http://www.legi.grenoble-inp.fr/people/Pierre.Augier/transonic-vision.html	Complete
I work in HPC so I am always thinking about performance. Many functions are already fast but more speed is always better. :)	Complete
I don't have any specific thoughts, but faster is better :)	Complete
I'd love to see NumPy as _the_ de facto array computing API, with other packages voluntarily choosing to allow interoperability.	Complete
In general, I'm pretty happy with the current state of NumPy, so general performance gains of numeric routines and aggregations still be a great way to continue to improve NumPy.	Complete
It would be really nice if the FFT in NumPy were "best in class." Typically FFTW performs better than KissFFT (which I think is the basis for NumPy) but there are licensing issues so FFTW itself can't be used.	Complete
I'm very impressed with the direction of performance - keep on rocking!	Complete
Improve interoperability with numba & cupy.	Complete
Very large data set performance	Complete
Improve support for intrinsics / SIMD instructions.	Complete
Integration of acceleration by GPU natively. (Original in Spanish: Integración de la aceleración por gpu de forma nativa.)	Complete
I found the performance of NumPy fantastic.	Complete
Guides and recommendations or use cases on how to perform the functions in a parallelized way. (Original in Spanish: Guías y recomendaciones o implementaciones para realizar las funciones de forma paralelizada.)	Complete
parallelization, SIMD	Complete
There are increasing opportunities for processing large amounts of data. I hope it will be a little faster. (Original in Japanese: 大量データの処理の機会が増えてきています。) 少しでも早くなることを期待します	Complete
Create standard benchmarks so they can be evaluated. (Original in Japanese: 標準ベンチマークを作成して、評価できるようにする.)	Complete
Increase processing speed. (Original in Japanese: 処理速度を早くする.)	Complete
Speed ​​up of vectorized functions. (Original in Japanese: ベクトル化した関数の速度向上.)	Complete
Jit compiler (numba/torchscript like maybe) to allow "kernel fusion" e.g. make for i in x:   for j in y:     for k in z:        some complex operation per matrix entry fast.	Complete
Numpy has great performance; however, the project is "old". Perhaps a reformulation in the basic code would bring an even better performance. (Original in Portuguese: Numpy tem ótima performance; contudo, o projeto é "antigo". Talvez uma reformulação no código básico traria uma performance ainda melhor.)	Complete
Parallel computing support, memory saving, or organizing documents to do them. (Original in Japanese: 並列計算の支援、省メモリ、あるいはそれらを行うためのドキュメントの整理.)	Complete
Improve the use of partner libraries or reformulate the code, aiming at high performance and preparation for use in quantum computing. (Original in Portuguese: Melhorar o uso de bibliotecas parceiras ou códigos reformulados, visando performance elevada e preparação para uso em computação quântica.)	Complete
Make it faster and more efficient	Complete
Doing performance benchmarks with other libs that does the same (maybe even in other languages).	Complete
Improve algorithms implementations with latest research	Complete
After getting done from SIMD optimizations, I was thinking about to add direct support for OpenCL & Cuda 	Complete
Speed especially with very large arrays	Complete
No specific thoughts on how to improve - just that I believe performance is a cornerstone of what makes NumPy so valuable and widely used (in conjunction with the expressive array syntax). IMO it is important for NumPy to maintain high performance to prevent ecosystem fragmentation with the introduction of many new array computation libraries (e.g. PyTorch).	Complete
More widespread usage of multithreading.	Complete
It is not really necessary to improve performance and reliability in any specific way. But it is important that you maintain them and keep good performance as it was before.	Complete
Benchmark against Julia.	Complete
I think there are ideas about using more vectorisation (with SIMD instructions), which seems interesting. More generally better performance with respect to use of multiple CPUs and memory allocation is always good to take.	Complete
Numpy in already extremely fast. But as more and more data is coming, Numpy has to be faster in many operations 	Complete
Include ARM compliance and performance testing as a priority (with a view to macOS but also recent super computer usage).	Complete
Increase use of vector instruction (AVX, Neon ...) Make numpy more friendly to JIT compiler like numba	Complete
faster small arrays	Complete
Allow SIMD access from all platforms, move to more modern glibc beyond manylinux2014	Complete
continued work on SIMD acceleration of ufuncs, etc.	Complete
Make it go faster and better. Benchmarked optimizations.	Complete
Integrate simd and task-based multithreading (e.g. tbb) throughout	Complete
	
Keep doing what you are. I don't think performance is broken as it stands.	Partial
I dont have specific targets, just anything that makes it generally faster is helpful in nearly all scenarios	Partial
NumPy is becoming the de facto way of handling data, it should strive to be the best possible tool.	Partial
Exposing C APIs for more modules, to be used via Cython	Partial
Multiple low-level backends (eg MKL) with dynamical switching. OpenMP low-level parallelism	Partial
Compare the python library random to numpy.random. there are certain scenarios where one is better than the other. For instance, if you want to generate multiple random numbers random.uniform is better; but numpy.random.sample is superior for sampling from a list. It'd be nice to have numpy superior at all times	Partial
Scaling out, compatibility with other libraries or data types	Partial
Build a stronger, highly active community. I would like to see seminars and conferences like tensorflow	Partial
Do multi threaded or multi processing calculations wherever possible without or with very few user interaction.	Partial
There isn't a performance shortfall, but continuing to optimize the library and say optimized is always important.	Partial
I am just a user of NumPy (and a big fan!), but what I see with performance is: / 1. People not efficiently using NumPy so that they think NumPy is too slow, just because their code is not optimized. This is why documentation and presenting the most optimized solutions is so important.  / 2. I tried messing around with CuPy and I had some graphic card issues, so my experience is limited, but is it crazy or out of scope to want GPU support in NumPy for some things?	Partial
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
I'm always interested in improved performance. It doesn't require any work from me but I still benefit from it	
	
The linear algebra module could see some improvement, (not my area of expertise, so I'm not sure how it could be improved).	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
I'd love to see support for accelerators and massive parallelism (via XLA as in Jax for example) land in NumPy.	
	
	
Speed up computation process. Currently, we need other packages like Numba, NumExpr, or Cupy. It will be interesting to have speed without any additional packages.	
