COMMENTS	SOURCE
I think clarifying a lot of the c like behaviour and edge cases could help. Possibly runtime warning for view vs copy	Complete
None, I am not well versed in computer science but believe reliability should be a high priority in general.	Complete
It's good. Just don't trade new feature for quality !	Complete
Expand on NEP 18 please, as the clarity of the NumPy API is crucial for the libraries that build off of it	Complete
Technical support is hard on both sides of the fence. The need for technical support should be minimized by providing stable solutions with a traceable log of current status.	Complete
I want to know that I will not encounter problems with it.	Complete
Reliability (in the sense of presenting a long term stable API in particular) is something that needs to be improved in numpy.	Complete
In my mind, reliability means decreasing the chance that unexpected errors or wrong results can occur due to e.g. rare data cases, or a user's subtle misunderstanding of function semantics. I don't consider myself knowledgeable enough on np's internals or development to really suggest specific plans for how to improve reliability, but I imagine that better documentation can help prevent users' from doing operations they don't realize are "unsafe". Also more built-in checking could be added, though of course this needs to be balanced against performance impact. As another enhancement that partly touches reliability, I would appreciate better support for missing data. This is a common cause of runtime errors that are not immediately noticed in development, both directly in my code and when passing data to other libraries. (I would especially appreciate missing data functionality that integrates well with pandas and similar parts of the ecosystem.)  Another very different idea would be to enhance support for static type checking, via offering a more official distribution of type annotations and eventually a full-featured type system such that checkers could enforce data types and shapes.	Complete
Nothing specific here -- but attention to reliability is always a good idea.	Complete
I don't have any specific advice, NumPy already seems highly reliable, but as a core package for most of my stack I think reliability is critically important to maintain. 	Complete
Keep up the great standards!	Complete
Keep tackling bugs as they pop up.	Complete
Critical business decisions can be based on pipelines using Numpy. As such, (numerical) reliability should always be the top priority.	Complete
Reliability is very good and that should stay and not be compromised by moving other things up in priority. That is why I put it on position 1.	Complete
The reliability is something I'm interested in it, because different versions of NumPy may not be compatible.	Complete
Just like it is done today (unit testing)	Complete
Inconsistencies in the dtypes. (Original in Spanish: Inconsistencias en los dtypes.)	Complete
I am happy that the content is highly reliable. I am happy that the documents can be provided in Japanese, but I would like you to do so while maintaining reliability. (Original in Japanese: 内容的な信頼度が高いと嬉しい. 日本語での文書提供が可能だと嬉しいが、信頼度を保ちながら行って欲しい.)	Complete
Fix bugs!	Complete
Make tree-structured page of reference doc. (Original in Japanese: ツリーで構造化されたリファレンスページの作成.)	Complete
Assess security aspects in software development to avoid malicious use of open source. (Original in Portuguese: Avaliar aspectos de segurança nos códigos desenvolvidos para não permitir fácil invasão ou uso malicioso de código aberto.)	Complete
Make sure it is accessible	Complete
Having multiple kind of automated tests and a high coverage codebase.	Complete
Making sure bugs are quickly addressed and fixed, improving the usability on windows and other platforms	Complete
Reliability goes hand in hand with API consistency. Recent version made some expressions just harder, especially when object arrays are involved.  Some rules are convenient, but not consistent - e.g., it is not obvious len(numpy.array([[1,2,3],[1,2,3]]).shape) != len(numpy.array([[1,2,3],[2,3]]).shape).	Complete
I'm not sure how reliability could be improved, but I believe reliability must remain a very high priority for NumPy.	Complete
Reliability is already excellent. It remains a top priority. Tests coverage is key, naturally.	Complete
Numpy is doing a great job in terms of stability and reliability, not sure how to increase it, it just seems an important point for a package that is at the root of all the scientific python ecosystem.	Complete
I find numpy quite reliable — I just think this needs to remain true above all other potential changes.	Complete
By making it available to more and more programming languages	Complete
NumPy generally sets itself high standards on things like backward compatibility and a deprecation process for changes. Keep this up please.	Complete
Nothing out of the ordinary, I feel that NumPy is in a good place right now with regards to its reliability.	Complete
testing, testing and probably testing. The number of architectures is growing in the HPC world, amd64 has competitors with arm64 and ppc64le. Ensuring reliability on those platforms is of crucial importance.	Complete
Reinforce the commitment that NumPy will remain open to everyone, considering changes to license terms as recently proposed would cause concerns as to future reliability of NumPy for a large portion of the industry. For me personally, I would not anymore contribute to NumPy, as the essence of OSS would be killed.	Complete
I find NumPy to be very reliable. Given its position at the core of the Scientific Python ecosystem, I would like to see NumPy keep the same level of reliability in the future.	Complete
reduce the API surface and dtype quirks	Complete
Bug fixes. More unit tests. Most of my code contributions were necessary because of lack of code coverage. They were corner cases, but obvious ones for the most part.	Complete
Increase testing, instrumented fuzzing	Complete
ensure that version release don't impact code within numpy.	Complete
Reducing scope: clarifying switch APIs are supported and deprecating/removing edge behavior (e.g., indexing)	Complete
	
Keep doing what you are. Continue to maintain good backwards compatibility (we test against versions back to 1.14)	Partial
I haven’t noticed any problems with reliability – I just think it’s more important than the rest.	Partial
Again nothing new here as well, Numpy is reliable and I hope it stays that way	Partial
Facilitate the publication of issues, and find ways to finance the solution of these issues. (Original in Spanish: Facilitar la publicación de issues, y buscar formas de financiar la solución de estos issues.)	Partial
Be robust to multiple runtimes (eg multiple OpenMP implementations) in the same interpreter. This does happen, and leads to subtle breakage.	Partial
Numpy is already pretty reliable :) I guess being as explicit as possible with error strings is always helpful. I also found that if i happen to be stuck with a numpy array with the object dtype (a large array was saved within a list of lists) then it can get pretty messy to go back to ndarray. I had to recursively call np.vstack on the sub-arrays, even though everything was a float.	Partial
NumPy is becoming the de facto way of handling data, it should strive to be the best possible tool.	Partial
Some tiny changes matter (string representations for instance). When they change, some tests start to fail.	Partial
